title,location,publishedAt,companyName,description,applicationsCount,contractType,experienceLevel,workType,sector,new_title,title_cluster
ML Engineer,"San Francisco, CA",2024-04-26,"Unreal Staffing, Inc","Join us in refining our enterprise developer tool dedicated to crafting cutting-edge voice AI agents. Collaborate closely with our founding team to optimize the voice AI stack, overcoming challenges to enhance intelligence, robustness, and speed. Utilize the latest research findings and conduct experiments to drive continuous improvement.

Requirements

Responsibilities


 * Spearhead model training and fine-tuning processes
 * Manage deployment and scaling of model inference, addressing challenges at significant scale
 * Continuously contribute to product development while conducting research activities
   
   
   

Tech Profile


 * Proficiency in LLM training and fine-tuning techniques
 * Background in Applied AI Research with a focus on audio processing
 * Preference for candidates with a PhD or equivalent research experience
   
   
   

Benefits


 * Competitive salary with performance-based bonuses
 * Comprehensive health, dental, and vision insurance coverage
 * Generous vacation allowance and flexible remote work options
 * Professional development stipend for conferences, courses, and certifications
 * Company-sponsored wellness programs, including gym memberships or fitness classes
 * Opportunities for equity ownership in the company
 * Regular team outings and social events to foster a supportive work culture
 * Access to cutting-edge technology and resources for research and development
 * Collaborative and dynamic work environment with a diverse team of experts",30 applicants,Full-time,Mid-Senior level,Engineering,Non-profit Organizations and Primary and Secondary Education,ML/AI Engineer,4
Machine Learning Engineer,"Seattle, WA",2024-01-26,IUNU,"At IUNU (“you knew”), we're amplifying the ability of growers to produce the highest quality greenhouse crops by leveraging robotics, computer vision, and AI. Our LUNA system is deployed at greenhouses in more than 15 countries, providing critical information like yield forecasts, pest detection, and germination rates to growers on mobile and web platforms. By increasing yield and reducing waste, we're building a sustainable future full of delicious vegetables!

As a Machine Learning Engineer at IUNU, you will create machine learning models and retrain existing ML systems that help growers optimize growing conditions in controlled-environment agriculture systems such as greenhouses. You possess exceptional mathematics and programming skills and several years of professional experience in software engineering and data science.

This is a hybrid role in our Seattle office, typically 3 days a week.

Responsibilities


 * Study and transform data science prototypes
 * Design machine learning systems
 * Research and implement appropriate ML algorithms and tools
 * Develop machine learning applications according to requirements
 * Select appropriate datasets and data representation methods
 * Run machine learning tests and experiments
 * Perform statistical analysis and fine-tuning using test results
 * Train and retrain systems when necessary
 * Extend existing ML libraries and frameworks
 * Keep abreast of developments in the field
   
   

Requirements


 * 3+ years of professional work experience as a Machine Learning Engineer or in a similar role
 * Extensive experience with Deep Learning
 * Understanding of data structures, data modeling, and software architecture
 * Deep knowledge of math, probability, statistics, and algorithms
 * Ability to write robust code in Python
 * Familiarity with machine learning frameworks (like PyTorch) and libraries (like scikit-learn)
 * Experience with computer vision, ideally OpenCV
 * Excellent communication skills
 * Ability to work in a team
 * Outstanding analytical and problem-solving skills
 * Bachelor's degree in Computer Science, Mathematics, or a similar field; a Master’s degree is a plus
   
   

Benefits


 * Competitive salary + equity
 * Unlimited PTO
 * Medical/dental/vision
 * Enjoy an occasional offsite meeting in new and exciting greenhouse locations!
   
   

Diversity

Sometimes a lack of confidence can hold us back from applying for a job, but in reality there's no such thing as a 'perfect' candidate. We want you to grow with us! Regardless of your identity or what kind of background you bring with you, we encourage you to apply if this is a role that interests and excites you.

At IUNU, we’re committed to doing our very best to cultivate an inclusive environment. We want you to feel comfortable bringing your whole self to work with you! Diversity is important to us, so all applicants will be considered without regard to sex, gender identity, gender expression, sexual orientation, race, color, religion, national origin, disability, medical condition, Veteran status, age, or any other characteristic protected by applicable law.

Powered by JazzHR

20n4gHHz14

",Over 200 applicants,Full-time,Mid-Senior level,Engineering and Information Technology,Internet Publishing,ML/AI Engineer,0
Junior AI/ML Software Engineer,"Arlington, VA",2024-04-23,InfiCare Staffing,"Hi ,

Hope you are doing great.

InfiCare has been providing Contingent Staffing and Direct Hire staffing services to its clients across the US and in four continents Since 2001. Starting from a modest beginning in 2001, today we service clients ranging from Fortune 500 companies to medium sized businesses as well as small niche firms. In US we are based at Dulles, VA. We are hiring “Junior AI/ML Software Engineer” for one of our clients. If you are interested in this position, you can revert to my email or call me at 703-652-5162.

Request ID: 42952-1

Duration: 1+ yr.

Location work will be performed: Arlington, VA/Remote (Means position is remote but candidate should be local to Arlington, VA)

Job Title: Junior AI/ML Software Engineer

Position Description


 * Technical understanding of the current AI offerings within Azure and how to integrate those services with existing or in-development solutions
 * Identify opportunities to leverage and integrate OpenAI/ML technologies and capabilities into ClientOIG processes, products, or services
 * Design, develop, evaluate, test, maintain, and monitor Azure AI/ML software programs and applications
 * Work alongside solution architects during design sessions, pilots/POCs leveraging Azure AI Services and Azure OpenAI Services
 * Support internal customers with Speech, Computer Vision, Text, Search, Azure Open AI so they can build their own AI products in the future
 * Adhere to Client OIG policies by identifying and mitigating safety and security considerations (bias, data privacy, etc.) when delivering or integrating technology or products that use or apply AI/ML
 * Collaborate with technical and business teams to translate requirements into scalable AI solutions.
 * Ability to communicate effectively, both orally and in writing with technical and non-technical team members
 * Develops and submits change requests and track work to completion
 * Produce process documentation in order to outline challenges, missteps and successes and refine processes going forward
 * Using modern approaches for product and services delivery in an iterative and Agile manner
   
   

 

Position Requirements

Primary Requirements


 * Microsoft Azure AI experience is a strong factor in a candidate consideration and candidates should highlight relevant experience in their resume.
 * Experience with Cognitive Services, Search and Azure Open AI models
 * Experience designing and implementing solutions in Azure
 * Attention to detail and creating clarity when dealing with ambiguity
 * Ability to work cross functionally in a constantly evolving and rapidly changing work environment
 * Excellent problem solving and analytical skills.
 * Strong knowledge of AI algorithms, techniques and technologies.
 * Proficiency in coding languages such as Python, C++, Java, etc.
   
   

Secondary Requirements


 * Experience in an Agile environment working with tools such as MS DevOps
 * Self-starter who can quickly acclimate to a dynamic environment
 * Strong communication, collaboration and interpersonal skills
 * Ability to multi-task and effectively prioritize competing requirements
 * Ability to work independently and in a team environment
 * Experience working in a government context or with government customers
   
   

Experience


 * Three plus (3+) years of experience with data and analysis through use of predictive tools and automation
 * Three plus (3+) years of experience in designing and developing AI software and system integration experience",98 applicants,Full-time,Entry level,Engineering and Information Technology,Staffing and Recruiting,Software Engineer/Developer,1
REMOTE ML Engineer,"San Jose, CA",2024-06-01,S M Software Solutions Inc,"ML Engineer

Client : PayPal

Location : San Jose, CA Remote

A Master's or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.

Solid knowledge of software engineering best practices, including version control systems (e.g., Git), code reviews, and testing methodologies.Backend Server & SDK development - programming languages (GO/GRPC, Java, Python)

GCP Vertex AI Components and SDK Experience

Expereince with React UI is needed

Mandatory Skills: (Go or Python or GRPC or Java), GCP Vertex AI, React, SDK

Powered by JazzHR

IIwKzX5cxv",94 applicants,Contract,Mid-Senior level,Engineering and Information Technology,Internet Publishing,ML/AI Engineer,4
ML Engineer-GCP - US,United States,2024-05-06,Zortech Solutions,"Role: ML Engineer-GCP

Location: San Jose CA-Remote

Duration: 6+ Months

Job Description

Mandatory Skills: (Go or Python or GRPC or Java), GCP Vertex AI, React, SDK


 * A Master's or Ph.D. degree in Computer Science, Statistics, Data Science, or a related field.
 * Solid knowledge of software engineering best practices, including version control systems (e.g., Git), code reviews, and testing methodologies. Backend Server & SDK development - programming languages (GO/GRPC, Java, Python)
 * GCP Vertex AI Components and SDK Experience
 * Experience with React UI is needed.",107 applicants,Contract,Entry level,Engineering and Information Technology,Human Resources Services,ML/AI Engineer,4
ML Engineer,"San Francisco, CA",2024-04-26,"Unreal Staffing, Inc","Join us in refining our enterprise developer tool dedicated to crafting cutting-edge voice AI agents. Collaborate closely with our founding team to optimize the voice AI stack, overcoming challenges to enhance intelligence, robustness, and speed. Utilize the latest research findings and conduct experiments to drive continuous improvement.

Requirements

Responsibilities


 * Spearhead model training and fine-tuning processes
 * Manage deployment and scaling of model inference, addressing challenges at significant scale
 * Continuously contribute to product development while conducting research activities
   
   
   

Tech Profile


 * Proficiency in LLM training and fine-tuning techniques
 * Background in Applied AI Research with a focus on audio processing
 * Preference for candidates with a PhD or equivalent research experience
   
   
   

Benefits


 * Competitive salary with performance-based bonuses
 * Comprehensive health, dental, and vision insurance coverage
 * Generous vacation allowance and flexible remote work options
 * Professional development stipend for conferences, courses, and certifications
 * Company-sponsored wellness programs, including gym memberships or fitness classes
 * Opportunities for equity ownership in the company
 * Regular team outings and social events to foster a supportive work culture
 * Access to cutting-edge technology and resources for research and development
 * Collaborative and dynamic work environment with a diverse team of experts",79 applicants,Full-time,Mid-Senior level,Engineering,Non-profit Organizations and Primary and Secondary Education,ML/AI Engineer,4
AI/Ml Engineer,United States,2024-05-30,Accrete Macro Solutions LLC,"Must Have Energy/Utility Domain Experience

Position: Sr. AI/ML Engineer

Location: Remote Work (may need to travel outside USA for workshops)

Duration: 6 Months

10+ Years Exp Needed

Description


 * Experienced data scientist with 5-10 years experience in developing custom Machine Learning and AI model to predict asset failure
 * Ability to perform as well as direct other data scientists on the team to perform exploratory data analysis, extract features, perform experiments, develop, fine tune, test models
 * Ability to containerize and deploy models on Kubernetes or Azure ML
 * Develop automated retraining and redeployment
 * Development of ML pipelines and API to call models
 * Understanding of Azure ML, MLFlow or Kubeflow
 * Experience in the utility industry or energy space preferable",139 applicants,Contract,Executive,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,4
AI/ML Engineer,"Rutherford, NJ",2024-04-30,Dwebtech Consulting Inc.,"Title: AI/ML Engineer

Location: Rutherford, NJ - Hybrid

Type: Contract

Duration: Longterm

Responsibilities


 * Advise C-suite executives and business leaders on a broad range of technology, strategy, and policy issues associated with AI
 * Work on functional design, process design (including scenario design, flow mapping), prototyping, testing, training, and defining support procedures, in collaboration with an advanced engineering team and executive leadership
 * Articulate and document the solutions architecture and lessons learned for each exploration and accelerated incubation
 * Manage a team in conducting assessments of the AI and automation market and competitor landscape
 * Serve as liaison between stakeholders and project teams, delivering feedback and enabling team members to make necessary changes in product performance or presentation
 * Hands on experience in applying AI to practical and comprehensive technology solutions
 * Hands on Experience in ML
 * Experience with ML, deep learning, TensorFlow, Python, NLP
 * Experience in program leadership, governance, and change enablement
 * Knowledge of basic algorithms, object-oriented and functional design principles, and best-practice patterns
 * Experience in REST API development, NoSQL database design, and RDBMS design and optimizations
   
   

Preferred Skills And Qualifications


 * Bachelor’s or master's degree in computer science or related field
 * Experience with innovation accelerators
 * Experience with cloud environments",134 applicants,Contract,Mid-Senior level,Engineering and Information Technology,Staffing and Recruiting,ML/AI Engineer,4
Machine Learning Engineer (NLP),"San Francisco, CA",,Writesonic,"[Full Time] Machine Learning Engineer (NLP) at Writesonic (United States) | BEAMSTART Jobs Machine Learning Engineer (NLP) Writesonic United States Date Posted 25 Jun, 2022 Work Location San Francisco, United States Salary Offered Not Specified Job Type Full Time Experience Required 3+ years Remote Work Yes Stock Options No Vacancies 1 available About Writesonic Writesonic's AI-powered writing assistant is used by 200,000 businesses and individuals to automate their writing and save 80% of their time and energy. Writesonic can automatically create articles, blogs posts, ads, landing pages and product descriptions by just inputting absolutely minimal amounts of text. Our customers love us, as evidenced by the 5000+ 5-star reviews on platforms like G2, TrustPilot, and Capterra. Writesonic is backed by Y Combinator and a rock-solid group of top investors in silicon valley. We are building a real business fueled by real revenue — not just venture capital. We're a small, creative, and hard-working team looking for people with a founder mindset to join us. You are serious about building and can wear many hats. Your day-to-day work will directly influence how customers and partners interact with our products. About the role We are expanding the functionality of our application based on market requirements and customer feedback. So, we are looking for talented AI/ML engineers who can understand our domain, research the market, own the application and drive the development of new AI models for building customer-requested features from the ground up. This position says founding engineer. We really mean that. You'd build critical AI (mainly NLP/NLG) features from the ground up, and deliver 5x faster than you have at previous jobs. We're looking for someone who is serious about building, and who can wear many hats. Your day-to-day work will directly influence how customers and partners interact with our products. ???? Who you are You care more about solving customers' problems and building a delightful experience than about using a particular technology to do it. People describe you as ""extremely productive."" You are excited about working on a small team and helping us set the long-term vision for our engineering organization and product direction. You have a strong grasp of engineering and ML fundamentals. You stay up to date with the latest research in AI. You're flexible, trustworthy, energetic, and a great communicator. You like to quickly learn and implement new technologies, and perform POC to explore the best solution for the problem statement. ???? What you'll do Take ownership of Writesonic's AI models and architecture, all the way to deploys, monitoring, debugging, and overall reliability. Research the market and competition, and come up with new features or ways to improve the system. Ship major features often, iterate on those features, and build out our core AI infrastructure. Be exposed to every level of the company, working closely with the CEO to meet business goals and working off customer feedback. Required Technical Skills and Qualifications 3+yrs of industry experience as a machine learning and software engineer. Ideally, with a focus on NLP/NLU/NLG. BSc, MSc, Ph.D. degree from a reputed university in Computer Science, Machine Learning, Statistics, or related technical field. Experience with building, deploying, and scaling production-level AI applications. You can read a research paper or mathematical description of an algorithm/model and translate that paper into high-quality code. Experience building backend systems at scale with a focus on data processing/machine learning/analytics. Experience building microservices. Experience with Python (recommended), Go, and/or Java/Scala. Experience with SoTA modeling techniques, such as transformers (e.g., BERT, GPT-N) Experience with using code for NLP/NLG/NLU (NLTK, Gensim, spaCy, TensorFlow, Pytorch, etc.) Our Technology AI GPT-based AI models BERT, BART, and other transformers models Frontend NextJs/React with Redux TypeScript tailwindcss Backend Python (FastAPI) PostgreSQL Kubernetes for deployment and orchestration About Writesonic AI-powered content creation - #1 AI tool for Writing Blogs in seconds Company Size: 11 - 50 People Year Founded: 2021 Country: United States Company Status: Actively Hiring Looking for Partners Looking for Clients Raising Funds Share This Job More Full Time Jobs Product Design Lead San Francisco Full Time Mobile App Developer - React Native San Francisco Full Time Business Development Associate San Francisco Full Time Talent Sourcer New York Full Time Head of Engineering Oregon Full Time More Companies Hiring Karate Labs United States NimbleRx United States Respaid United States Automat (formerly lasso) United States Spruce Systems United States BEAMSTART brings you the latest news, databases, and jobs from all around the world on startups, technology, and business. Stay updated with industry news, plug-in to exciting community events, and discover incredible career opportunities with the world's most innovative companies. Discover Jobs Full Time Part Time Contract Internship Volunteer Companies Candidates Post a Job For Recruiters Our Company News Jobs Database About Us Download App More Copyright 2023 BEAMSTART . All Rights Reserved. #J-18808-Ljbffr",43 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,Natural Language Processing Engineer,0
"Machine Learning Engineer, Forecast Platform","Seattle, WA",2024-05-22,DoorDash,"About The Team

Come help us build the world's most reliable on-demand, logistics engine for delivery! We are bringing on a talented Machine Learning Engineer to help us improve the operational efficiency of DoorDash's three-sided marketplace of consumers, merchants, and dashers. The Forecasting Platform provides a unique opportunity to have a broad impact on the business ensuring we can quickly respond to a rapidly changing operational environment. The team supports projects across all of our major pillars (e.g. supply / demand, auto-scaling infrastructure, support optimization) as well as the development of an internal decision platform for time series.

About The Role

As a Machine Learning Engineer, you will have the opportunity to leverage our robust data and machine learning infrastructure to develop ML models that impact millions of users across our three audiences and tackle our most challenging business problems. You will work with other engineers, analysts, and product managers to develop and iterate on models to help us grow our business and provide the best service quality for our customers.

You’re Excited About This Opportunity Because You Will…


 * Build time-dependent statistical and ML models that solve product needs across our verticals - e.g. matching supply / demand, predicting support needs, providing insights to our internal platforms (ads, experiments, merchant), auto-scale infrastructure and optimize business processes such as promotions
 * Own the modeling life cycle end-to-end including feature creation, model development and prototyping, experimentation, monitoring and explainability, and model maintenance
 * Contribute to the development of our in-house Forecasting Self-Service Platform and proprietary Forecasting Repository to uplevel our capabilities
 * Research new tools within the Forecasting space (e.g. TimeGPT, LLM extensions)
 * You can find out more on our ML blog post here
   
   

We’re Excited About You Because…


 * High-energy and confident — you keep the mission in mind, take ideas and help them grow using data and rigorous testing, show evidence of progress and then double down
 * You’re an owner — driven, focused, and quick to take ownership of your work
 * Humble — you’re willing to jump in and you’re open to feedback
 * Adaptable, resilient, and able to thrive in ambiguity — things change quickly in our fast-paced startup and you’ll need to be able to keep up!
 * Growth-minded — you’re eager to expand your skill set and excited to carve out your career path in a hyper-growth setting
 * Desire for impact — ready to take on a lot of responsibility and work collaboratively with your team
   
   

Experience


 * M.S. and 3+ or PhD. and 1+ year(s) experience of developing advanced statistical and machine learning models in production
 * Demonstrated expertise with object-oriented programming and ML Libraries, e.g. python, SciKit Learn, Lightgbm, Spark MLLib, PyTorch, TensorFlow, etc
 * Deep understanding of complex systems such as Marketplaces, and domain knowledge in two or more of the following: Machine Learning, Causal Inference, Operations Research, Forecasting
 * Experience of shipping production-grade ML models and optimization systems
   
   

About DoorDash

At DoorDash, our mission to empower local economies shapes how our team members move quickly, learn, and reiterate in order to make impactful decisions that display empathy for our range of users—from Dashers to merchant partners to consumers. We are a technology and logistics company that started with door-to-door delivery, and we are looking for team members who can help us go from a company that is known for delivering food to a company that people turn to for any and all goods.

DoorDash is growing rapidly and changing constantly, which gives our team members the opportunity to share their unique perspectives, solve new challenges, and own their careers. We're committed to supporting employees’ happiness, healthiness, and overall well-being by providing comprehensive benefits and perks including premium healthcare, wellness expense reimbursement, paid parental leave and more.

Our Commitment to Diversity and Inclusion

We’re committed to growing and empowering a more inclusive community within our company, industry, and cities. That’s why we hire and cultivate diverse teams of people from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has room at the table and the tools, resources, and opportunity to excel.

Statement of Non-Discrimination: In keeping with our beliefs and goals, no employee or applicant will face discrimination or harassment based on: race, color, ancestry, national origin, religion, age, gender, marital/domestic partner status, sexual orientation, gender identity or expression, disability status, or veteran status. Above and beyond discrimination and harassment based on “protected categories,” we also strive to prevent other subtler forms of inappropriate behavior (i.e., stereotyping) from ever gaining a foothold in our office. Whether blatant or hidden, barriers to success have no place at DoorDash. We value a diverse workforce – people who identify as women, non-binary or gender non-conforming, LGBTQIA+, American Indian or Native Alaskan, Black or African American, Hispanic or Latinx, Native Hawaiian or Other Pacific Islander, differently-abled, caretakers and parents, and veterans are strongly encouraged to apply. Thank you to the Level Playing Field Institute for this statement of non-discrimination.

Pursuant to the San Francisco Fair Chance Ordinance, Los Angeles Fair Chance Initiative for Hiring Ordinance, and any other state or local hiring regulations, we will consider for employment any qualified applicant, including those with arrest and conviction records, in a manner consistent with the applicable regulation.

If you need any accommodations, please inform your recruiting contact upon initial connection.

Compensation

The location-specific base salary range for this position is listed below. Compensation in other geographies may vary.

Actual compensation within the pay range will be decided based on factors including, but not limited to, skills, prior relevant experience, and specific work location. For roles that are available to be filled remotely, base salary is localized according to employee work location. Please discuss your intended work location with your recruiter for more information.

DoorDash cares about you and your overall well-being, and that’s why we offer a comprehensive benefits package, for full-time employees, that includes healthcare benefits, a 401(k) plan including an employer match, short-term and long-term disability coverage, basic life insurance, wellbeing benefits, paid time off, paid parental leave, and several paid holidays, among others.

In addition to base salary, the compensation package for this role also includes opportunities for equity grants.

California Pay Range:

$140,100—$210,100 USD

Washington Pay Range:

$140,100—$210,100 USD",Over 200 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,Platform Engineer,4
Founding Engineer (AI/ML),United States,,Meetsta,"About Meetsta: Meetsta is a dynamic and innovative social networking platform. Our mission is to provide a tailored and engaging space where individuals can connect, collaborate, and build meaningful relationships.

Position Overview: We seek an AI/ML Engineer to help us create, train, and re-train custom small-language models (SLM) and large-language models.

To do this job successfully, you need exceptional skills in statistics and programming. If you also have knowledge of data science and software engineering, we’d like to meet you.

Your ultimate goal will be to shape and build efficient self-learning applications.

Responsibilities


 * Study and transform data science prototypes
 * Design machine learning systems
 * Research and implement appropriate ML algorithms and tools
 * Develop machine learning applications according to requirements
 * Select appropriate datasets and data representation methods
 * Run machine learning tests and experiments
 * Perform statistical analysis and fine-tuning using test results
 * Train and retrain systems when necessary
 * Extend existing ML libraries and frameworks
 * Keep abreast of developments in the field
   
   

Requirements


 * Experience in AI/ML Engineering and expertise in the development of mobile technologies.
 * Understanding of data structures, data modelling and software architecture
 * Deep knowledge of math, probability, statistics, modeling, and algorithms
 * Ability to write robust code in Javascript, Python, Java, and R
 * Familiarity with machine learning frameworks (like Tensorflow.js or PyTorch).
 * Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
 * Solid understanding of the full mobile development life cycle
 * Must have completed or be enrolled in a graduate degree program (Masters / PhD) in Computer Science, Mathematics, or a related field at an academic institution in the United States.
   
   

Compensation

Equity-based.

Important Notes

We are only considering US citizens and Permanent Residents for the role.",Be among the first 25 applicants,Full-time,Entry level,Engineering and Information Technology,Software Development,ML/AI Engineer,4
AI Machine Learning Engineer,"Manassas, VA",2024-05-31,Lockheed Martin,"What We're Doing

We are leveraging emerging, digitally-enabled capabilities to lower cost, speed up development time and create original solutions to best serve our customers and stakeholders. We’re bringing the 4th Industrial Revolution to every role in the company.

Are you ready to invent the future? Lockheed Martin Rotary & Mission Systems is on a journey of digital transformation as we utilize our data, modernize our processes and advance technology to advance our position as the world’s leading Aerospace and Defense company. Our Systems of Systems Artificial Intelligence (AI) team seeks a Machine Learning Production and Deployment Engineer.

Who We Are

Currently, we are at the forefront of integrating AI into defense systems, a venture spearheaded by our AI Factory in collaboration with our business sectors. To further innovate and enhance our capabilities, the Lockheed Martin Rotary and Mission Systems (RMS) Systems of Systems Artificial Intelligence (AI) team is looking to recruit a Machine Learning Engineer based in Manassas, Virginia. The role will concentrate on machine learning research, production, deployment involving data, databases, displays, stack management, Kubernetes, large-scale infrastructure, and experiment management.

THE WORK

On a Day To Day Basis You Can Expect The Work To Be Customer Focused And Involve Deployment To The Edge While Working With a Close Knit Team. It Will Entail


 * Working in a high performance computing environment and being involved in creative ML work.
 * Software development & containerization.
 * Display & database integration.
 * Partnering with the peer engineering organizations and chief engineer offices.
   
   

Who You Are

The ideal candidate will:


 * Have a background in software engineering, DevOps, artificial intelligence and machine learning.
 * Be passionate about a broad range of projects from research & development to prototype development, culminating in the deployment of our products to customers.
 * Be comfortable and enjoy working in a fast paced and dynamic multi-disciplinary environment.
 * Have the ability to build and maintain relationships across organizations.
 * Collaborate with others and engage in constructive conflict.
 * Manage interpersonal dynamics and not be afraid to challenge the existing approach to solutions.
 * Strong problem solving mindset: ability to develop create solutions to difficult problems often requiring integration of conflicting and, at times, ambiguous or incomplete data on a fast-paced schedule.
   
   

WHY JOIN US

We believe that owning your career and having the freedom to make critical business decisions is key to making a real impact.

With the autonomy to use your skills and expertise in innovative ways, you can take on exciting challenges and help solve some of the world's most pressing problems.

Learn more about Lockheed Martin's Comprehensive benefits package here!",78 applicants,Full-time,Entry level,Engineering and Information Technology,Defense and Space Manufacturing,ML/AI Engineer,0
Machine Learning Engineer,Greater Seattle Area,2024-05-28,Truveta,"Truveta is the world’s first health provider led data platform with a vision of Saving Lives with Data. Our mission is to enable researchers to find cures faster, empower every clinician to be an expert, and help families make the most informed decisions about their care. Achieving Truveta’ s ambitious vision requires an incredible team of talented and inspired people with a special combination of health, software and big data experience who share our company values.

Truveta was born in the Pacific Northwest, but we have employees who live across the country. Our team enjoys the flexibility of a hybrid model and working from anywhere. In person attendance is required for two weeks during the year for Truveta Planning Weeks.

For overall team productivity, we optimize meeting hours in the pacific time zone. We avoid scheduling recurring meetings that start after 3pm PT, however, ad hoc meetings occur between 8am-6pm Pacific time.

Who We Need

We are seeking a highly motivated, experienced, and talented Machine Learning Engineer to join our AI research team and contribute to our innovative projects in the field of Large Language Modeling (LLM) and clinical data analysis. Beyond core capabilities, we are seeking problem solvers, passionate and collaborative teammates, and those willing to roll up their sleeves while making a difference. If you are interested in the opportunity to pursue purposeful work, join a mission-driven team, and build a rewarding career while having fun, Truveta may be the perfect fit for you.

This Opportunity

We are looking for machine learning experts who can utilize applied science and software development skills in building our Foundation Models that help us address some of the hardest problems towards our vision of Saving Lives with Data. You will work in an exciting and fast-paced environment, collaborating closely with multiple teams across the company. You will work as part of an organization that brings together talent from diverse backgrounds including software engineering, big data, machine learning and AI, clinical informatics, and medicine making our team an exciting place to work. We value and encourage diversity in the belief that our differences make us and our products better.

In This Role, You Will


 * Collaborate with researchers and engineers to design, develop, and refine large language models and generative models for various applications.
 * Utilize your expertise in machine learning and natural language processing to develop novel algorithms and methodologies for generative modeling tasks.
 * Implement, train, and fine-tune LLM and GPT-like models on large-scale datasets to ensure optimal performance and accuracy.
 * Stay up to date with the latest research advancements and techniques in the field of language modeling, generative modeling, and machine learning.
 * Deliver the next generation of innovation in trustworthy healthcare.
   
   

Key Qualifications


 * Extensive software engineering experience in building high performance, large-scale ML systems (Preferably 1 to 3 years of industry experience in the relevant fields).
 * Strong communication skills and the ability to work effectively in a collaborative research environment.
 * Demonstrated leadership abilities, with experience in guiding and mentoring a team of ML engineers.
 * Excellent problem-solving and troubleshooting abilities, along with a strong analytical mindset and persistence in resolving problems.
 * Strong theoretical and practical background in NLP including experience with state-of-the-art LLM architectures optimized for handling large context and low inference cost.
 * Advanced degree, ideally a Ph.D., in Computer Science, Electrical Engineering, or a related field with specialized research in areas such as machine learning, NLP, Large Language Models (LLMs), multi-modal foundation models, and generative AI techniques.
 * Proficiency in deep learning frameworks (e.g., PyTorch, TensorFlow, etc.) and libraries commonly used in NLP and Generative AI.
 * Solid programming skills in Python and the ability to write clean, efficient, and well-documented code.
   
   

Preferred Qualifications


 * Experience with distributed parallel training, large-scale multi-modal foundation and generative models.
 * Familiarity with parameter-efficient tuning techniques, Reinforcement Learning from Human Feedback (RLHF), and prompt engineering techniques.
 * Familiarity with training multi-modal foundation models and relevant frameworks.
 * Familiarity with cloud-based infrastructure and experience deploying large-scale machine learning models in production environments.
 * A track record of publications and contributions to the machine learning and natural language processing communities.
   
   

This position offers a unique chance to work on state-of-the-art language models and contribute to transformative research with the vision of Saving Lives with Data. You will be part of a dynamic team of researchers and engineers who are passionate about pushing the boundaries of machine learning and natural language understanding in the healthcare domain. Join us and make a significant impact on the future of healthcare and patient well-being.

Why Truveta?

Be a part of building something special. Now is the perfect time to join Truveta. We have strong, established leadership with decades of success. We are well-funded. We are building a culture that prioritizes people and their passions across personal, professional, and everything in between. Join us as we build an amazing company together.

We Offer


 * Interesting and meaningful work for every career stage
 * Great benefits package
 * Comprehensive benefits with strong medical, dental and vision insurance plans
 * 401K plan
 * Professional development & training opportunities for continuous learning
 * Work/life autonomy via flexible work hours and flexible paid time off
 * Generous parental leave
 * Regular team activities (virtual and in-person as soon as we are able)
 * The base pay for this position is $152,000 to $205,000. The pay range reflects the minimum and maximum target. Pay is based on several factors including location and may vary depending on job-related knowledge, skills, and experience. Certain roles are eligible for additional compensation such as incentive pay and stock options.
   
   

If you are based in California, we encourage you to read this important information for California residents linked here.

Truveta is committed to creating a diverse, inclusive, and empowering workplace. We believe that having employees, interns, and contractors with diverse backgrounds enables Truveta to better meet our mission and serve patients and health communities around the world. We recognize that opportunities in technology historically excluded and continue to disproportionately exclude Black and Indigenous people, people of color, people from working class backgrounds, people with disabilities, and LGBTQIA+ people. We strongly encourage individuals with these identities to apply even if you don’t meet all of the requirements.",Over 200 applicants,Full-time,Mid-Senior level,Engineering and Information Technology,"Software Development, Technology, Information and Internet, and IT Services and IT Consulting",ML/AI Engineer,0
